Year,TotalTDFDistance,Stage
2006,3657,Stage 6 : Lisieux > Vitré
2006,3657,Stage 5 : Beauvais > Caen
2006,3657,Prologue : Strasbourg > Strasbourg
2006,3657,Stage 3 : Esch-sur-Alzette > Valkenburg
2006,3657,Stage 1 : Strasbourg > Strasbourg
2006,3657,Stage 8 : Saint-Meen-le-Grand > Lorient
2006,3657,Stage 4 : Huy > Saint-Quentin
2006,3657,Stage 9 : Bordeaux > Dax
2006,3657,Stage 2 : Obernai > Esch-sur-Alzette
2006,3657,Stage 11 : Tarbes > Val d'Aran - Pla-de-Beret
2006,3657,Stage 10 : Cambo-les-Bains > Pau
2006,3657,Stage 20 : Sceaux > Paris Champs-Élysées
2006,3657,Stage 19 : Le Creusot > Montceau-les-Mines
2006,3657,Stage 18 : Morzine > Macon
2006,3657,Stage 17 : Saint-Jean-de-Maurienne > Morzine
2006,3657,Stage 13 : Béziers > Montélimar
2006,3657,Stage 15 : Gap > L'Alpe-d'Huez
2006,3657,Stage 14 : Montélimar > Gap
2006,3657,Stage 12 : Luchon > Carcassonne
2006,3657,Stage 16 : Bourg-d'Oisans > La Toussuire
2007,3570,Prologue : Londres > Londres
2007,3570,Stage 1 : Londres > Canterbury
2007,3570,Stage 2 : Dunkerque > Gand
2007,3570,Stage 3 : Waregem > Compiègne
2007,3570,Stage 4 : villers_cotterets > Joigny
2007,3570,Stage 5 : Chablis > Autun
2007,3570,Stage 6 : semur_en_auxois > Bourg-en-Bresse
2007,3570,Stage 7 : Bourg-en-Bresse > le_grand_bornand
2007,3570,Stage 8 : le_grand_bornand > Tignes
2007,3570,Stage 9 : val_d_isere > Briançon
2007,3570,Stage 11 : Marseille > Montpellier
2007,3570,Stage 12 : Montpellier > Castres
2007,3570,Stage 14 : Mazamet > plateau_de_beille
2007,3570,Stage 15 : Foix > loudenvielle_le_louron
2007,3570,Stage 16 : Orthez > gourette_col_d_aubisque
2007,3570,Stage 17 : Pau > Castelsarrasin
2007,3570,Stage 18 : Cahors > Angoulême
2007,3570,Stage 19 : Cognac > Angoulême
2007,3570,Stage 20 : Marcoussis > Paris Champs-Élysées
2007,3570,Stage 10 : Tallard > Marseille
2007,3570,Stage 13 : Albi > Albi
2008,3559,Stage 5 : Cholet > Chateauroux
2008,3559,Stage 8 : Figeac > Toulouse
2008,3559,Stage 7 : Brioude > Aurillac
2008,3559,Stage 6 : Aigurande > Super-Besse
2008,3559,Stage 9 : Toulouse > Bagnères-de-Bigorre
2008,3559,Stage 3 : Saint-Malo > Nantes
2008,3559,Stage 2 : Auray > Saint-Brieuc
2008,3559,Stage 1 : Brest > Plumelec
2008,3559,Stage 4 : Cholet > Cholet
2008,3559,Stage 10 : Pau > Hautacam
2008,3559,Stage 17 : Embrun > L'Alpe-d'Huez
2008,3559,Stage 12 : Lavelanet > Narbonne
2008,3559,Stage 21 : Etampes > Paris Champs-Élysées
2008,3559,Stage 20 : Cérilly > Saint-Amand-Montrond
2008,3559,Stage 19 : Roanne > Montluçon
2008,3559,Stage 18 : Bourg-d'Oisans > Saint-Etienne
2008,3559,Stage 11 : Lannemezan > Foix
2008,3559,Stage 15 : Embrun > Prato Nevoso
2008,3559,Stage 14 : Nimes > Digne-les-Bains
2008,3559,Stage 13 : Narbonne > Nimes
2008,3559,Stage 16 : Cuneo > Jausiers
2009,3460,Stage 9 : Saint Gaudens > Tarbes
2009,3460,Stage 1 : Monaco > Monaco
2009,3460,Stage 2 : Monaco > Brignoles
2009,3460,Stage 3 : Marseille > La Grande-Motte
2009,3460,Stage 4 : Montpellier > Montpellier
2009,3460,Stage 5 : Le Cap d'Agde > Perpignan
2009,3460,Stage 6 : Gérone > Barcelone
2009,3460,Stage 7 : Barcelone > Andorre
2009,3460,Stage 8 : Andorre-la-Vieille > Saint-Girons
